"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	19:01:55	 		"Time         "	19:01:55	 
"X Scale      "	5.0E-04	 		"X Scale      "	5.0E-04	 
"X At 0%      "	-2.98E-03	 		"X At 0%      "	-2.98E-03	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"500 us/Div"	 		"X Label      "	"500 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

-2.98E-03	-2.8E-02	-2.0E-02		-2.98E-03	4.8E-01	6.0E-01
-2.96E-03	-3.2E-02	-2.4E-02		-2.96E-03	5.2E-01	5.6E-01
-2.94E-03	-2.8E-02	-2.0E-02		-2.94E-03	5.2E-01	6.4E-01
-2.92E-03	-2.8E-02	-2.0E-02		-2.92E-03	5.6E-01	6.0E-01
-2.90E-03	-2.8E-02	-2.0E-02		-2.90E-03	4.8E-01	5.6E-01
-2.88E-03	-2.8E-02	-1.6E-02		-2.88E-03	4.4E-01	6.0E-01
-2.86E-03	-2.4E-02	-2.0E-02		-2.86E-03	5.2E-01	5.6E-01
-2.84E-03	-2.8E-02	-2.4E-02		-2.84E-03	5.2E-01	5.6E-01
-2.82E-03	-2.4E-02	-1.6E-02		-2.82E-03	5.2E-01	6.0E-01
-2.80E-03	-2.8E-02	-2.0E-02		-2.80E-03	4.8E-01	5.6E-01
-2.78E-03	-2.8E-02	-2.0E-02		-2.78E-03	4.8E-01	5.6E-01
-2.76E-03	-2.4E-02	-1.6E-02		-2.76E-03	5.6E-01	6.0E-01
-2.74E-03	-2.4E-02	-2.0E-02		-2.74E-03	4.8E-01	5.6E-01
-2.72E-03	-2.8E-02	-2.0E-02		-2.72E-03	4.4E-01	5.6E-01
-2.70E-03	-2.8E-02	-2.4E-02		-2.70E-03	5.2E-01	6.0E-01
-2.68E-03	-2.4E-02	-1.6E-02		-2.68E-03	4.8E-01	5.6E-01
-2.66E-03	-2.4E-02	-1.6E-02		-2.66E-03	4.8E-01	6.0E-01
-2.64E-03	-2.8E-02	-2.0E-02		-2.64E-03	5.2E-01	6.0E-01
-2.62E-03	-3.2E-02	-2.4E-02		-2.62E-03	5.2E-01	6.0E-01
-2.60E-03	-2.8E-02	-2.0E-02		-2.60E-03	5.2E-01	5.6E-01
-2.58E-03	-2.4E-02	-1.6E-02		-2.58E-03	5.2E-01	6.0E-01
-2.56E-03	-2.8E-02	-2.0E-02		-2.56E-03	4.8E-01	5.6E-01
-2.54E-03	-2.8E-02	-2.0E-02		-2.54E-03	5.2E-01	6.0E-01
-2.52E-03	-2.4E-02	-1.6E-02		-2.52E-03	5.2E-01	6.0E-01
-2.50E-03	-2.4E-02	-2.0E-02		-2.50E-03	5.2E-01	5.6E-01
-2.48E-03	-2.0E-02	-1.6E-02		-2.48E-03	5.2E-01	6.0E-01
-2.46E-03	-2.8E-02	-2.0E-02		-2.46E-03	5.6E-01	6.4E-01
-2.44E-03	-2.8E-02	-2.0E-02		-2.44E-03	5.2E-01	6.0E-01
-2.42E-03	-2.4E-02	-2.0E-02		-2.42E-03	5.2E-01	6.0E-01
-2.40E-03	-2.4E-02	-1.6E-02		-2.40E-03	4.8E-01	5.6E-01
-2.38E-03	-2.4E-02	-1.6E-02		-2.38E-03	5.6E-01	6.0E-01
-2.36E-03	-2.4E-02	-2.0E-02		-2.36E-03	5.2E-01	6.0E-01
-2.34E-03	-2.0E-02	-1.6E-02		-2.34E-03	4.8E-01	6.0E-01
-2.32E-03	-2.4E-02	-1.6E-02		-2.32E-03	5.2E-01	5.6E-01
-2.30E-03	-2.4E-02	-1.6E-02		-2.30E-03	5.2E-01	6.4E-01
-2.28E-03	-2.0E-02	-1.6E-02		-2.28E-03	4.8E-01	5.6E-01
-2.26E-03	-2.4E-02	-2.0E-02		-2.26E-03	4.8E-01	5.6E-01
-2.24E-03	-2.8E-02	-2.0E-02		-2.24E-03	5.6E-01	6.0E-01
