"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	21:55:52	 		"Time         "	21:55:52	 
"X Scale      "	1.00E-04	 		"X Scale      "	1.00E-04	 
"X At 0%      "	9.28E-04	 		"X At 0%      "	9.28E-04	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"100 us/Div"	 		"X Label      "	"100 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

9.28E-04	-3.2E-02	-2.4E-02		9.28E-04	6.4E-01	6.8E-01
9.32E-04	-2.4E-02	-2.0E-02		9.32E-04	6.8E-01	7.2E-01
9.36E-04	-2.8E-02	-2.0E-02		9.36E-04	6.4E-01	7.2E-01
9.40E-04	-2.0E-02	-2.0E-02		9.40E-04	6.8E-01	7.2E-01
9.44E-04	-2.4E-02	-2.0E-02		9.44E-04	6.8E-01	7.2E-01
9.48E-04	-2.8E-02	-2.0E-02		9.48E-04	6.0E-01	6.8E-01
9.52E-04	-2.8E-02	-2.0E-02		9.52E-04	6.0E-01	7.2E-01
9.56E-04	-2.8E-02	-2.0E-02		9.56E-04	6.4E-01	6.8E-01
9.60E-04	-3.2E-02	-2.4E-02		9.60E-04	6.0E-01	7.2E-01
9.64E-04	-2.8E-02	-2.4E-02		9.64E-04	6.0E-01	7.6E-01
9.68E-04	-3.2E-02	-2.8E-02		9.68E-04	5.6E-01	7.2E-01
9.72E-04	-2.8E-02	-2.0E-02		9.72E-04	6.8E-01	7.6E-01
9.76E-04	-2.8E-02	-2.4E-02		9.76E-04	6.4E-01	6.8E-01
9.80E-04	-3.2E-02	-2.8E-02		9.80E-04	6.0E-01	6.4E-01
9.84E-04	-3.2E-02	-2.8E-02		9.84E-04	6.4E-01	7.2E-01
9.88E-04	-2.8E-02	-2.4E-02		9.88E-04	6.4E-01	7.2E-01
9.92E-04	-2.8E-02	-2.4E-02		9.92E-04	6.0E-01	6.8E-01
9.96E-04	-2.4E-02	-2.0E-02		9.96E-04	6.4E-01	7.2E-01
9.996E-04	-2.8E-02	-2.0E-02		9.996E-04	6.0E-01	6.8E-01
1.004E-03	-2.8E-02	-2.0E-02		1.004E-03	6.0E-01	6.8E-01
1.008E-03	-2.8E-02	-2.0E-02		1.008E-03	6.4E-01	7.2E-01
1.012E-03	-3.6E-02	-2.4E-02		1.012E-03	6.4E-01	6.8E-01
1.016E-03	-3.6E-02	-2.4E-02		1.016E-03	6.0E-01	6.8E-01
1.020E-03	-3.2E-02	-2.8E-02		1.020E-03	6.8E-01	6.8E-01
1.024E-03	-3.2E-02	-2.8E-02		1.024E-03	6.0E-01	6.4E-01
1.028E-03	-3.2E-02	-2.8E-02		1.028E-03	5.6E-01	6.8E-01
1.032E-03	-3.6E-02	-2.8E-02		1.032E-03	6.4E-01	7.2E-01
1.036E-03	-3.2E-02	-2.8E-02		1.036E-03	6.0E-01	6.8E-01
1.040E-03	-3.2E-02	-2.4E-02		1.040E-03	6.4E-01	6.8E-01
1.044E-03	-3.2E-02	-2.4E-02		1.044E-03	6.0E-01	7.2E-01
1.048E-03	-3.2E-02	-2.8E-02		1.048E-03	6.4E-01	6.8E-01
1.052E-03	-3.2E-02	-2.4E-02		1.052E-03	6.4E-01	7.2E-01
1.056E-03	-3.6E-02	-2.4E-02		1.056E-03	5.6E-01	6.8E-01
1.060E-03	-3.2E-02	-2.4E-02		1.060E-03	5.6E-01	7.2E-01
1.064E-03	-2.8E-02	-2.4E-02		1.064E-03	6.4E-01	6.8E-01
1.068E-03	-3.2E-02	-2.4E-02		1.068E-03	6.4E-01	6.8E-01
1.072E-03	-3.6E-02	-2.8E-02		1.072E-03	6.4E-01	6.8E-01
1.076E-03	-3.6E-02	-2.8E-02		1.076E-03	6.4E-01	7.2E-01
1.080E-03	-4.0E-02	-3.2E-02		1.080E-03	6.0E-01	6.8E-01
