"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	22:03:59	 		"Time         "	22:03:59	 
"X Scale      "	2.00E-04	 		"X Scale      "	2.00E-04	 
"X At 0%      "	-1.7E-05	 		"X At 0%      "	-1.7E-05	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"200 us/Div"	 		"X Label      "	"200 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

-1.7E-05	-2.8E-02	-2.4E-02		-1.7E-05	6.0E-01	7.2E-01
-9.E-06	-2.8E-02	-2.0E-02		-9.E-06	5.6E-01	6.4E-01
-8.E-07	-2.8E-02	-2.0E-02		-8.E-07	5.6E-01	6.4E-01
7.E-06	-3.2E-02	-2.0E-02		7.E-06	6.0E-01	6.8E-01
1.5E-05	-2.8E-02	-2.4E-02		1.5E-05	5.6E-01	6.4E-01
2.3E-05	-3.2E-02	-2.4E-02		2.3E-05	5.6E-01	6.4E-01
3.1E-05	-3.2E-02	-2.4E-02		3.1E-05	5.6E-01	6.8E-01
3.9E-05	-3.6E-02	-2.4E-02		3.9E-05	6.0E-01	6.8E-01
4.7E-05	-3.2E-02	-2.4E-02		4.7E-05	5.6E-01	6.4E-01
5.5E-05	-3.2E-02	-2.4E-02		5.5E-05	5.6E-01	6.8E-01
6.3E-05	-2.8E-02	-2.0E-02		6.3E-05	6.4E-01	6.8E-01
7.1E-05	-2.8E-02	-2.0E-02		7.1E-05	6.0E-01	6.8E-01
7.9E-05	-2.8E-02	-2.0E-02		7.9E-05	6.0E-01	6.4E-01
8.7E-05	-2.8E-02	-1.6E-02		8.7E-05	5.2E-01	6.4E-01
9.5E-05	-2.4E-02	-2.0E-02		9.5E-05	6.0E-01	6.4E-01
1.03E-04	-3.2E-02	-1.6E-02		1.03E-04	5.2E-01	6.4E-01
1.11E-04	-2.8E-02	-2.4E-02		1.11E-04	5.6E-01	6.0E-01
1.19E-04	-2.8E-02	-2.4E-02		1.19E-04	5.6E-01	6.8E-01
1.27E-04	-3.2E-02	-2.4E-02		1.27E-04	6.0E-01	6.8E-01
1.35E-04	-3.2E-02	-2.4E-02		1.35E-04	5.6E-01	6.8E-01
1.43E-04	-3.2E-02	-2.0E-02		1.43E-04	5.6E-01	6.8E-01
1.51E-04	-3.2E-02	-2.0E-02		1.51E-04	5.6E-01	6.8E-01
1.59E-04	-3.2E-02	-2.4E-02		1.59E-04	5.6E-01	6.4E-01
1.67E-04	-2.4E-02	-2.0E-02		1.67E-04	5.2E-01	6.4E-01
1.75E-04	-3.2E-02	-2.4E-02		1.75E-04	6.0E-01	6.4E-01
1.83E-04	-2.8E-02	-2.4E-02		1.83E-04	6.0E-01	7.2E-01
1.91E-04	-3.2E-02	-2.4E-02		1.91E-04	6.0E-01	7.2E-01
1.99E-04	-2.8E-02	-2.0E-02		1.99E-04	5.6E-01	6.4E-01
2.07E-04	-3.6E-02	-2.4E-02		2.07E-04	5.6E-01	6.4E-01
2.15E-04	-2.8E-02	-1.6E-02		2.15E-04	6.0E-01	6.8E-01
2.23E-04	-2.8E-02	-2.4E-02		2.23E-04	5.6E-01	6.4E-01
2.31E-04	-2.4E-02	-1.6E-02		2.31E-04	5.6E-01	6.8E-01
2.39E-04	-2.8E-02	-2.0E-02		2.39E-04	6.0E-01	6.8E-01
2.47E-04	-3.2E-02	-2.0E-02		2.47E-04	5.6E-01	6.4E-01
2.55E-04	-2.8E-02	-2.4E-02		2.55E-04	5.2E-01	6.4E-01
2.63E-04	-3.2E-02	-2.0E-02		2.63E-04	6.0E-01	7.2E-01
2.71E-04	-3.2E-02	-1.6E-02		2.71E-04	5.2E-01	6.8E-01
2.79E-04	-2.8E-02	-2.0E-02		2.79E-04	5.6E-01	6.4E-01
2.87E-04	-2.4E-02	-1.6E-02		2.87E-04	5.6E-01	6.4E-01
