"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	19:32:46	 		"Time         "	19:32:46	 
"X Scale      "	2.00E-04	 		"X Scale      "	2.00E-04	 
"X At 0%      "	5.28E-04	 		"X At 0%      "	5.28E-04	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"200 us/Div"	 		"X Label      "	"200 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

5.28E-04	-2.8E-02	-1.6E-02		5.28E-04	6.4E-01	7.2E-01
5.36E-04	-2.8E-02	-2.0E-02		5.36E-04	6.0E-01	7.2E-01
5.44E-04	-3.2E-02	-2.0E-02		5.44E-04	6.8E-01	7.6E-01
5.52E-04	-2.8E-02	-2.0E-02		5.52E-04	6.4E-01	7.6E-01
5.60E-04	-3.2E-02	-2.4E-02		5.60E-04	6.4E-01	7.6E-01
5.68E-04	-2.4E-02	-2.0E-02		5.68E-04	6.4E-01	7.6E-01
5.76E-04	-3.2E-02	-2.4E-02		5.76E-04	6.4E-01	7.2E-01
5.84E-04	-2.8E-02	-2.0E-02		5.84E-04	6.0E-01	7.2E-01
5.92E-04	-3.2E-02	-2.4E-02		5.92E-04	5.6E-01	7.2E-01
6.00E-04	-3.2E-02	-2.8E-02		6.00E-04	6.4E-01	7.2E-01
6.08E-04	-3.2E-02	-2.4E-02		6.08E-04	6.8E-01	7.2E-01
6.16E-04	-2.8E-02	-2.0E-02		6.16E-04	5.6E-01	6.8E-01
6.24E-04	-2.8E-02	-2.0E-02		6.24E-04	6.4E-01	7.2E-01
6.32E-04	-3.2E-02	-2.4E-02		6.32E-04	6.0E-01	7.2E-01
6.40E-04	-3.2E-02	-2.4E-02		6.40E-04	6.0E-01	6.8E-01
6.48E-04	-2.8E-02	-2.4E-02		6.48E-04	6.4E-01	7.2E-01
6.56E-04	-3.2E-02	-2.0E-02		6.56E-04	6.4E-01	7.2E-01
6.64E-04	-3.2E-02	-2.4E-02		6.64E-04	6.4E-01	7.2E-01
6.72E-04	-2.4E-02	-2.0E-02		6.72E-04	6.8E-01	7.6E-01
6.80E-04	-2.8E-02	-2.0E-02		6.80E-04	6.0E-01	7.2E-01
6.88E-04	-2.8E-02	-2.4E-02		6.88E-04	6.4E-01	7.6E-01
6.96E-04	-3.6E-02	-2.0E-02		6.96E-04	6.4E-01	7.6E-01
7.04E-04	-3.2E-02	-2.0E-02		7.04E-04	6.4E-01	7.6E-01
7.12E-04	-2.8E-02	-2.0E-02		7.12E-04	6.4E-01	7.2E-01
7.20E-04	-2.8E-02	-2.4E-02		7.20E-04	6.4E-01	7.2E-01
7.28E-04	-2.8E-02	-2.0E-02		7.28E-04	6.8E-01	7.2E-01
7.36E-04	-3.2E-02	-2.0E-02		7.36E-04	6.4E-01	7.6E-01
7.44E-04	-2.8E-02	-1.2E-02		7.44E-04	6.8E-01	8.0E-01
7.52E-04	-3.2E-02	-2.0E-02		7.52E-04	6.4E-01	7.6E-01
7.60E-04	-3.2E-02	-2.4E-02		7.60E-04	6.8E-01	7.2E-01
7.68E-04	-2.8E-02	-2.0E-02		7.68E-04	6.4E-01	6.8E-01
7.76E-04	-2.8E-02	-2.0E-02		7.76E-04	6.4E-01	7.2E-01
7.84E-04	-2.8E-02	-1.6E-02		7.84E-04	6.0E-01	7.6E-01
7.92E-04	-2.8E-02	-2.0E-02		7.92E-04	6.8E-01	7.6E-01
8.00E-04	-3.2E-02	-2.4E-02		8.00E-04	6.8E-01	7.6E-01
8.08E-04	-2.8E-02	-2.0E-02		8.08E-04	6.8E-01	7.6E-01
8.16E-04	-2.8E-02	-2.0E-02		8.16E-04	6.4E-01	7.2E-01
8.24E-04	-3.2E-02	-2.0E-02		8.24E-04	6.8E-01	7.2E-01
8.32E-04	-2.8E-02	-2.0E-02		8.32E-04	6.0E-01	7.2E-01
