"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/29/95	 		"Date         "	01/29/95	 
"Time         "	22:29:59	 		"Time         "	22:29:59	 
"X Scale      "	5.0E-03	 		"X Scale      "	5.0E-03	 
"X At 0%      "	-2.84E-02	 		"X At 0%      "	-2.84E-02	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"5 ms/Div"	 		"X Label      "	"5 ms/Div"	 
"Y Scale      "	5.0E-02	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-2.00E-01	 		"Y At 50%     "	1.26E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

-2.84E-02	-2.4E-02	-2.0E-02		-2.84E-02	-1.84E+00	-1.72E+00
-2.82E-02	-2.4E-02	-1.8E-02		-2.82E-02	-1.80E+00	-1.68E+00
-2.80E-02	-2.4E-02	-2.0E-02		-2.80E-02	-1.80E+00	-1.72E+00
-2.78E-02	-2.2E-02	-2.0E-02		-2.78E-02	-1.84E+00	-1.72E+00
-2.76E-02	-2.6E-02	-2.2E-02		-2.76E-02	-1.88E+00	-1.76E+00
-2.74E-02	-1.98E-01	-2.6E-02		-2.74E-02	-1.80E+00	-1.72E+00
-2.72E-02	-6.8E-02	-2.0E-02		-2.72E-02	-1.84E+00	-1.76E+00
-2.70E-02	-2.4E-02	-2.2E-02		-2.70E-02	-1.88E+00	-1.76E+00
-2.68E-02	-2.4E-02	-2.0E-02		-2.68E-02	-1.88E+00	-1.76E+00
-2.66E-02	-2.4E-02	-2.0E-02		-2.66E-02	-1.88E+00	-1.80E+00
-2.64E-02	-2.6E-02	-2.0E-02		-2.64E-02	-1.92E+00	-1.80E+00
-2.62E-02	-2.6E-02	-2.0E-02		-2.62E-02	-1.92E+00	-1.84E+00
-2.60E-02	-2.4E-02	-1.8E-02		-2.60E-02	-1.96E+00	-1.84E+00
-2.58E-02	-2.4E-02	-2.0E-02		-2.58E-02	-1.92E+00	-1.84E+00
-2.56E-02	-2.4E-02	-2.0E-02		-2.56E-02	-1.92E+00	-1.80E+00
-2.54E-02	-2.6E-02	-2.0E-02		-2.54E-02	-1.96E+00	-1.84E+00
-2.52E-02	-2.6E-02	-2.2E-02		-2.52E-02	-1.88E+00	-1.80E+00
-2.50E-02	-2.6E-02	-2.0E-02		-2.50E-02	-1.88E+00	-1.76E+00
-2.48E-02	-2.4E-02	-2.0E-02		-2.48E-02	-1.88E+00	-1.76E+00
-2.46E-02	-2.6E-02	-2.0E-02		-2.46E-02	-1.88E+00	-1.76E+00
-2.44E-02	-2.6E-02	-2.2E-02		-2.44E-02	-1.88E+00	-1.76E+00
-2.42E-02	-2.6E-02	-2.2E-02		-2.42E-02	-1.80E+00	-1.72E+00
-2.40E-02	-4.2E-02	-2.2E-02		-2.40E-02	-1.80E+00	-1.72E+00
-2.38E-02	-2.02E-01	-2.8E-02		-2.38E-02	-1.80E+00	-1.72E+00
-2.36E-02	-2.6E-02	-2.0E-02		-2.36E-02	-1.80E+00	-1.64E+00
-2.34E-02	-2.6E-02	-2.2E-02		-2.34E-02	-1.80E+00	-1.72E+00
-2.32E-02	-2.6E-02	-2.2E-02		-2.32E-02	-1.72E+00	-1.64E+00
-2.30E-02	-2.6E-02	-2.2E-02		-2.30E-02	-1.76E+00	-1.64E+00
-2.28E-02	-2.6E-02	-2.2E-02		-2.28E-02	-1.72E+00	-1.64E+00
-2.26E-02	-2.4E-02	-2.0E-02		-2.26E-02	-1.84E+00	-1.64E+00
-2.24E-02	-3.2E-02	-2.2E-02		-2.24E-02	-1.72E+00	-1.56E+00
-2.22E-02	-4.4E-02	-2.2E-02		-2.22E-02	-1.68E+00	-1.56E+00
-2.20E-02	-2.4E-02	-2.2E-02		-2.20E-02	-1.68E+00	-1.52E+00
-2.18E-02	-2.4E-02	-2.0E-02		-2.18E-02	-1.72E+00	-1.60E+00
-2.16E-02	-2.4E-02	-2.2E-02		-2.16E-02	-1.72E+00	-1.60E+00
-2.14E-02	-2.6E-02	-2.0E-02		-2.14E-02	-1.60E+00	-1.52E+00
