"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	22:58:12	 		"Time         "	22:58:12	 
"X Scale      "	2.00E-04	 		"X Scale      "	2.00E-04	 
"X At 0%      "	-2.393E-03	 		"X At 0%      "	-2.393E-03	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"200 us/Div"	 		"X Label      "	"200 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

-2.393E-03	-3.2E-02	-2.4E-02		-2.393E-03	5.6E-01	6.8E-01
-2.385E-03	-3.6E-02	-2.8E-02		-2.385E-03	6.0E-01	6.8E-01
-2.377E-03	-3.6E-02	-2.4E-02		-2.377E-03	6.0E-01	7.2E-01
-2.369E-03	-3.2E-02	-2.4E-02		-2.369E-03	6.0E-01	6.8E-01
-2.361E-03	-3.6E-02	-2.8E-02		-2.361E-03	6.0E-01	6.8E-01
-2.353E-03	-3.2E-02	-2.4E-02		-2.353E-03	6.0E-01	6.4E-01
-2.345E-03	-3.6E-02	-2.8E-02		-2.345E-03	5.2E-01	6.4E-01
-2.337E-03	-3.6E-02	-2.8E-02		-2.337E-03	6.0E-01	6.8E-01
-2.329E-03	-3.6E-02	-2.0E-02		-2.329E-03	5.6E-01	6.8E-01
-2.321E-03	-3.6E-02	-2.4E-02		-2.321E-03	5.6E-01	6.8E-01
-2.313E-03	-4.0E-02	-2.8E-02		-2.313E-03	6.0E-01	6.8E-01
-2.305E-03	-3.6E-02	-2.8E-02		-2.305E-03	6.0E-01	7.2E-01
-2.297E-03	-3.2E-02	-2.4E-02		-2.297E-03	6.0E-01	6.8E-01
-2.289E-03	-3.6E-02	-2.8E-02		-2.289E-03	5.2E-01	6.8E-01
-2.281E-03	-3.6E-02	-2.8E-02		-2.281E-03	5.6E-01	6.8E-01
-2.273E-03	-3.2E-02	-2.0E-02		-2.273E-03	6.4E-01	6.8E-01
-2.265E-03	-4.0E-02	-2.8E-02		-2.265E-03	6.0E-01	6.8E-01
-2.257E-03	-4.0E-02	-2.4E-02		-2.257E-03	6.0E-01	6.4E-01
-2.249E-03	-3.6E-02	-2.8E-02		-2.249E-03	6.0E-01	6.8E-01
-2.241E-03	-3.6E-02	-2.8E-02		-2.241E-03	6.0E-01	7.2E-01
-2.233E-03	-3.6E-02	-2.4E-02		-2.233E-03	6.0E-01	6.8E-01
-2.225E-03	-3.6E-02	-2.8E-02		-2.225E-03	6.0E-01	6.8E-01
-2.217E-03	-3.6E-02	-2.8E-02		-2.217E-03	6.0E-01	6.8E-01
-2.209E-03	-3.6E-02	-2.8E-02		-2.209E-03	5.6E-01	6.8E-01
-2.201E-03	-3.6E-02	-2.8E-02		-2.201E-03	5.6E-01	6.8E-01
-2.193E-03	-3.2E-02	-2.4E-02		-2.193E-03	5.6E-01	6.4E-01
-2.185E-03	-4.0E-02	-2.8E-02		-2.185E-03	6.0E-01	6.8E-01
-2.177E-03	-4.0E-02	-3.2E-02		-2.177E-03	5.6E-01	6.8E-01
-2.169E-03	-3.6E-02	-2.8E-02		-2.169E-03	6.0E-01	6.4E-01
-2.161E-03	-4.0E-02	-2.8E-02		-2.161E-03	4.8E-01	6.4E-01
-2.153E-03	-3.6E-02	-2.8E-02		-2.153E-03	6.0E-01	6.4E-01
-2.145E-03	-4.0E-02	-3.2E-02		-2.145E-03	5.2E-01	6.4E-01
-2.137E-03	-3.6E-02	-3.2E-02		-2.137E-03	6.4E-01	7.2E-01
-2.129E-03	-4.0E-02	-3.2E-02		-2.129E-03	5.6E-01	6.8E-01
-2.121E-03	-3.6E-02	-2.8E-02		-2.121E-03	6.0E-01	6.4E-01
-2.113E-03	-3.6E-02	-2.8E-02		-2.113E-03	6.0E-01	7.2E-01
-2.105E-03	-4.0E-02	-3.2E-02		-2.105E-03	6.4E-01	6.8E-01
-2.097E-03	-4.0E-02	-2.4E-02		-2.097E-03	5.2E-01	6.4E-01
