"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	23:45:35	 		"Time         "	23:45:35	 
"X Scale      "	1.00E-02	 		"X Scale      "	1.00E-02	 
"X At 0%      "	-6.08E-02	 		"X At 0%      "	-6.08E-02	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"10 ms/Div"	 		"X Label      "	"10 ms/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

-6.08E-02	-2.4E-02	-1.6E-02		-6.08E-02	2.36E+00	2.44E+00
-6.04E-02	-3.2E-02	-2.0E-02		-6.04E-02	2.32E+00	2.48E+00
-6.00E-02	-3.2E-02	-2.0E-02		-6.00E-02	2.36E+00	2.48E+00
-5.96E-02	-2.8E-02	-2.0E-02		-5.96E-02	2.36E+00	2.52E+00
-5.92E-02	-3.2E-02	-2.4E-02		-5.92E-02	2.40E+00	2.52E+00
-5.88E-02	-2.8E-02	-2.0E-02		-5.88E-02	2.44E+00	2.56E+00
-5.84E-02	-3.2E-02	-2.4E-02		-5.84E-02	2.44E+00	2.56E+00
-5.80E-02	-3.2E-02	-2.0E-02		-5.80E-02	2.44E+00	2.60E+00
-5.76E-02	-3.2E-02	-2.4E-02		-5.76E-02	2.52E+00	2.60E+00
-5.72E-02	-2.8E-02	-2.0E-02		-5.72E-02	2.48E+00	2.56E+00
-5.68E-02	-3.2E-02	-2.0E-02		-5.68E-02	2.48E+00	2.56E+00
-5.64E-02	-2.8E-02	-2.0E-02		-5.64E-02	2.44E+00	2.52E+00
-5.60E-02	-3.2E-02	-2.4E-02		-5.60E-02	2.40E+00	2.52E+00
-5.56E-02	-2.8E-02	-2.0E-02		-5.56E-02	2.36E+00	2.52E+00
-5.52E-02	-3.2E-02	-2.4E-02		-5.52E-02	2.36E+00	2.48E+00
-5.48E-02	-2.8E-02	-1.6E-02		-5.48E-02	2.40E+00	2.48E+00
-5.44E-02	-3.2E-02	-2.0E-02		-5.44E-02	2.36E+00	2.48E+00
-5.40E-02	-3.2E-02	-2.0E-02		-5.40E-02	2.36E+00	2.48E+00
-5.36E-02	-2.8E-02	-1.6E-02		-5.36E-02	2.36E+00	2.44E+00
-5.32E-02	-2.8E-02	-2.0E-02		-5.32E-02	2.36E+00	2.44E+00
-5.28E-02	-3.2E-02	-2.4E-02		-5.28E-02	2.32E+00	2.40E+00
-5.24E-02	-2.8E-02	-2.0E-02		-5.24E-02	2.28E+00	2.36E+00
-5.20E-02	-3.2E-02	-2.0E-02		-5.20E-02	2.28E+00	2.40E+00
-5.16E-02	-3.6E-02	-2.4E-02		-5.16E-02	2.28E+00	2.36E+00
-5.12E-02	-3.2E-02	-2.4E-02		-5.12E-02	2.28E+00	2.40E+00
-5.08E-02	-3.6E-02	-2.4E-02		-5.08E-02	2.28E+00	2.36E+00
-5.04E-02	-2.8E-02	-1.6E-02		-5.04E-02	2.20E+00	2.32E+00
-5.00E-02	-2.8E-02	-1.6E-02		-5.00E-02	2.20E+00	2.32E+00
-4.96E-02	-2.8E-02	-2.0E-02		-4.96E-02	2.24E+00	2.36E+00
-4.92E-02	-3.2E-02	-2.4E-02		-4.92E-02	2.20E+00	2.32E+00
-4.88E-02	-3.2E-02	-2.0E-02		-4.88E-02	2.20E+00	2.32E+00
-4.84E-02	-3.2E-02	-2.4E-02		-4.84E-02	2.08E+00	2.24E+00
-4.80E-02	-3.2E-02	-2.4E-02		-4.80E-02	2.16E+00	2.24E+00
-4.76E-02	-2.8E-02	-2.0E-02		-4.76E-02	2.12E+00	2.24E+00
-4.72E-02	-3.2E-02	-2.0E-02		-4.72E-02	2.12E+00	2.24E+00
-4.68E-02	-1.24E-01	-3.2E-02		-4.68E-02	2.12E+00	2.24E+00
-4.64E-02	-3.6E-02	-2.0E-02		-4.64E-02	2.08E+00	2.20E+00
-4.60E-02	-2.8E-02	-1.6E-02		-4.60E-02	2.12E+00	2.24E+00
