"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	23:58:03	 		"Time         "	23:58:03	 
"X Scale      "	2.00E-04	 		"X Scale      "	2.00E-04	 
"X At 0%      "	-1.176E-03	 		"X At 0%      "	-1.176E-03	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"200 us/Div"	 		"X Label      "	"200 us/Div"	 
"Y Scale      "	1.00E-01	 		"Y Scale      "	1.00E+00	 
"Y At 50%     "	-4.00E-01	 		"Y At 50%     "	1.68E+00	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"mV"	 		"Y Label      "	"V"	 

-1.176E-03	-3.6E-02	-2.4E-02		-1.176E-03	6.0E-01	6.8E-01
-1.168E-03	-3.2E-02	-2.4E-02		-1.168E-03	6.4E-01	7.6E-01
-1.160E-03	-2.8E-02	-1.6E-02		-1.160E-03	6.0E-01	7.2E-01
-1.152E-03	-3.2E-02	-2.8E-02		-1.152E-03	6.4E-01	7.6E-01
-1.144E-03	-3.2E-02	-2.4E-02		-1.144E-03	6.4E-01	7.2E-01
-1.136E-03	-3.6E-02	-2.4E-02		-1.136E-03	6.4E-01	7.2E-01
-1.128E-03	-3.2E-02	-2.0E-02		-1.128E-03	6.0E-01	7.6E-01
-1.120E-03	-3.6E-02	-2.0E-02		-1.120E-03	6.8E-01	7.2E-01
-1.112E-03	-3.6E-02	-2.4E-02		-1.112E-03	6.0E-01	6.8E-01
-1.104E-03	-3.2E-02	-2.0E-02		-1.104E-03	6.8E-01	7.6E-01
-1.096E-03	-2.8E-02	-2.0E-02		-1.096E-03	6.0E-01	7.2E-01
-1.088E-03	-3.2E-02	-1.6E-02		-1.088E-03	6.0E-01	7.2E-01
-1.080E-03	-2.8E-02	-2.4E-02		-1.080E-03	5.2E-01	7.6E-01
-1.072E-03	-2.8E-02	-2.0E-02		-1.072E-03	6.4E-01	7.2E-01
-1.064E-03	-3.2E-02	-2.4E-02		-1.064E-03	6.8E-01	7.6E-01
-1.056E-03	-2.8E-02	-2.0E-02		-1.056E-03	6.4E-01	6.8E-01
-1.048E-03	-2.8E-02	-2.4E-02		-1.048E-03	6.4E-01	7.2E-01
-1.040E-03	-2.8E-02	-2.4E-02		-1.040E-03	6.8E-01	8.0E-01
-1.032E-03	-2.4E-02	-2.0E-02		-1.032E-03	6.4E-01	7.2E-01
-1.024E-03	-2.8E-02	-2.0E-02		-1.024E-03	6.4E-01	7.2E-01
-1.016E-03	-2.8E-02	-2.0E-02		-1.016E-03	6.4E-01	7.2E-01
-1.008E-03	-2.4E-02	-1.6E-02		-1.008E-03	6.4E-01	7.2E-01
-1.000E-03	-2.4E-02	-1.6E-02		-1.000E-03	6.4E-01	7.6E-01
-9.92E-04	-2.8E-02	-2.0E-02		-9.92E-04	6.8E-01	7.6E-01
-9.84E-04	-2.8E-02	-2.4E-02		-9.84E-04	6.0E-01	7.2E-01
-9.76E-04	-3.2E-02	-2.0E-02		-9.76E-04	6.4E-01	7.2E-01
-9.68E-04	-3.2E-02	-2.0E-02		-9.68E-04	6.4E-01	7.6E-01
-9.60E-04	-2.8E-02	-2.0E-02		-9.60E-04	6.4E-01	7.2E-01
-9.52E-04	-2.8E-02	-2.0E-02		-9.52E-04	6.0E-01	7.2E-01
-9.44E-04	-3.2E-02	-2.0E-02		-9.44E-04	6.4E-01	7.2E-01
-9.36E-04	-3.2E-02	-2.4E-02		-9.36E-04	6.4E-01	7.2E-01
-9.28E-04	-2.8E-02	-2.4E-02		-9.28E-04	6.0E-01	6.8E-01
-9.20E-04	-3.2E-02	-2.4E-02		-9.20E-04	6.4E-01	7.2E-01
-9.12E-04	-3.2E-02	-2.4E-02		-9.12E-04	6.4E-01	7.6E-01
-9.04E-04	-3.2E-02	-2.4E-02		-9.04E-04	6.4E-01	7.2E-01
-8.96E-04	-3.2E-02	-2.8E-02		-8.96E-04	6.4E-01	7.6E-01
-8.88E-04	-2.8E-02	-2.4E-02		-8.88E-04	6.0E-01	7.2E-01
-8.80E-04	-3.2E-02	-2.4E-02		-8.80E-04	6.0E-01	7.2E-01
