160	5	1
155	7	1
150	9.5	1
145	12	1
140	15	1
135	18	1
130	21	1
125	24	1
120	27.5	1
115	30	1
110	33.5	1
105	36.5	1
100	40	1
95	41	2
90	42	2
85	42	2
80	42	2
75	40	2
70	38.5	1
65	37	1
60	34	1
55	31	1
50	28	1
45	25	1
40	21.5	1
35	18	1
30	15	1
25	12	1
20	9.5	1
15	7	1
10	5	1
5	4	1
0	3.5	1
-5	3.5	1
-10	4	1
-15	5	1
-20	7	1
-25	9	1
-30	12	1
-35	15	1
-40	18	1
-45	22	1
-50	25	1
-55	28.5	1
-60	32	1
-65	35	1
-70	37	1
-75	39	1
-80	41	2
-85	42	2
-90	43	2
-95	43	2
-100	42	2
-105	42	2
-110	40	2
-115	38	1
-120	35.5	1
-125	32.5	1
-130	29.5	1
-135	26	1
-140	23	1
-145	19	1
-150	15.5	1
-155	12.5	1
-160	10	1
