Title, 
Type, DCV_(020)
MAX, 100,23, V, 23.17.51
MIN, 1,1479, V, 23.22.58
AVG., 55,79, V

No, Date, Time, Value, Unit
 0001, 2017/11/07, 23.17.51, 100,23, V
 0002, 2017/11/07, 23.17.52, 100,23, V
 0003, 2017/11/07, 23.17.53, 100,23, V
 0004, 2017/11/07, 23.17.54, 100,23, V
 0005, 2017/11/07, 23.17.55, 100,23, V
 0006, 2017/11/07, 23.17.56, 100,23, V
 0007, 2017/11/07, 23.17.57, 100,23, V
 0008, 2017/11/07, 23.17.58, 100,23, V
 0009, 2017/11/07, 23.17.59, 100,23, V
 0010, 2017/11/07, 23.18.00, 100,23, V
 0011, 2017/11/07, 23.18.01, 100,23, V
 0012, 2017/11/07, 23.18.02, 100,23, V
 0013, 2017/11/07, 23.18.03, 100,23, V
 0014, 2017/11/07, 23.18.04, 100,23, V
 0015, 2017/11/07, 23.18.05, 100,23, V
 0016, 2017/11/07, 23.18.06, 100,22, V
 0017, 2017/11/07, 23.18.07, 100,23, V
 0018, 2017/11/07, 23.18.08, 100,23, V
 0019, 2017/11/07, 23.18.09, 100,23, V
 0020, 2017/11/07, 23.18.10, 100,14, V
 0021, 2017/11/07, 23.18.11, 100,13, V
 0022, 2017/11/07, 23.18.12, 100,10, V
 0023, 2017/11/07, 23.18.13, 100,09, V
 0024, 2017/11/07, 23.18.14, 100,01, V
 0025, 2017/11/07, 23.18.15, 99,76, V
 0026, 2017/11/07, 23.18.16, 99,71, V
 0027, 2017/11/07, 23.18.17, 99,42, V
 0028, 2017/11/07, 23.18.18, 99,11, V
 0029, 2017/11/07, 23.18.19, 98,84, V
 0030, 2017/11/07, 23.18.20, 98,67, V
 0031, 2017/11/07, 23.18.21, 98,33, V
 0032, 2017/11/07, 23.18.22, 97,95, V
 0033, 2017/11/07, 23.18.23, 97,39, V
 0034, 2017/11/07, 23.18.24, 97,07, V
 0035, 2017/11/07, 23.18.25, 96,66, V
 0036, 2017/11/07, 23.18.26, 96,02, V
 0037, 2017/11/07, 23.18.27, 95,74, V
 0038, 2017/11/07, 23.18.28, 95,44, V
 0039, 2017/11/07, 23.18.29, 94,89, V
 0040, 2017/11/07, 23.18.30, 94,40, V
 0041, 2017/11/07, 23.18.31, 93,90, V
 0042, 2017/11/07, 23.18.32, 93,60, V
 0043, 2017/11/07, 23.18.33, 93,26, V
 0044, 2017/11/07, 23.18.34, 92,84, V
 0045, 2017/11/07, 23.18.35, 92,48, V
 0046, 2017/11/07, 23.18.36, 92,17, V
 0047, 2017/11/07, 23.18.37, 91,72, V
 0048, 2017/11/07, 23.18.38, 91,39, V
 0049, 2017/11/07, 23.18.39, 91,22, V
 0050, 2017/11/07, 23.18.40, 90,84, V
 0051, 2017/11/07, 23.18.41, 90,43, V
 0052, 2017/11/07, 23.18.42, 90,17, V
 0053, 2017/11/07, 23.18.43, 89,99, V
 0054, 2017/11/07, 23.18.44, 89,83, V
 0055, 2017/11/07, 23.18.45, 89,72, V
 0056, 2017/11/07, 23.18.46, 89,50, V
 0057, 2017/11/07, 23.18.47, 89,22, V
 0058, 2017/11/07, 23.18.48, 88,98, V
 0059, 2017/11/07, 23.18.49, 88,68, V
