Title, 
Type, DCV_(022)
MAX, 100,34, V, 23.10.02
MIN, 1,1485, V, 23.05.02
AVG., 48,2992, V

No, Date, Time, Value, Unit
 0001, 2017/11/07, 23.04.59, 1,1486, V
 0002, 2017/11/07, 23.05.00, 1,1486, V
 0003, 2017/11/07, 23.05.01, 1,1486, V
 0004, 2017/11/07, 23.05.02, 1,1485, V
 0005, 2017/11/07, 23.05.03, 1,1485, V
 0006, 2017/11/07, 23.05.04, 1,1485, V
 0007, 2017/11/07, 23.05.05, 1,1485, V
 0008, 2017/11/07, 23.05.06, 1,1485, V
 0009, 2017/11/07, 23.05.07, 1,1485, V
 0010, 2017/11/07, 23.05.08, 1,1485, V
 0011, 2017/11/07, 23.05.09, 1,1485, V
 0012, 2017/11/07, 23.05.10, 1,1485, V
 0013, 2017/11/07, 23.05.11, 1,1485, V
 0014, 2017/11/07, 23.05.12, 1,1486, V
 0015, 2017/11/07, 23.05.13, 1,1486, V
 0016, 2017/11/07, 23.05.14, 1,1486, V
 0017, 2017/11/07, 23.05.15, 1,1486, V
 0018, 2017/11/07, 23.05.16, 1,1486, V
 0019, 2017/11/07, 23.05.17, 1,2762, V
 0020, 2017/11/07, 23.05.18, 1,6546, V
 0021, 2017/11/07, 23.05.19, 1,9828, V
 0022, 2017/11/07, 23.05.20, 2,2035, V
 0023, 2017/11/07, 23.05.21, 2,3959, V
 0024, 2017/11/07, 23.05.22, 2,5967, V
 0025, 2017/11/07, 23.05.23, 2,7939, V
 0026, 2017/11/07, 23.05.24, 2,9224, V
 0027, 2017/11/07, 23.05.25, 3,1122, V
 0028, 2017/11/07, 23.05.26, 3,3308, V
 0029, 2017/11/07, 23.05.27, 3,5321, V
 0030, 2017/11/07, 23.05.28, 3,8571, V
 0031, 2017/11/07, 23.05.29, 4,3432, V
 0032, 2017/11/07, 23.05.30, 4,6552, V
 0033, 2017/11/07, 23.05.31, 4,8544, V
 0034, 2017/11/07, 23.05.32, 5,1001, V
 0035, 2017/11/07, 23.05.33, 5,2268, V
 0036, 2017/11/07, 23.05.34, 5,5192, V
 0037, 2017/11/07, 23.05.35, 5,6713, V
 0038, 2017/11/07, 23.05.36, 6,068, V
 0039, 2017/11/07, 23.05.37, 6,585, V
 0040, 2017/11/07, 23.05.38, 7,008, V
 0041, 2017/11/07, 23.05.39, 7,507, V
 0042, 2017/11/07, 23.05.40, 8,034, V
 0043, 2017/11/07, 23.05.41, 8,229, V
 0044, 2017/11/07, 23.05.42, 8,724, V
